"Historico - Experimento 1","","","","",""
"Prompt","Prompt detalhado usado","Issues","Overall result","Overall sentiment","Observations"
"Corrigir o bug de duplicação ao adicionar questões, revendo o método HTTP, a URL do fetch e os dados de teste inconsistentes.","Analise e corrija o bug de duplicação ao adicionar questões em uma prova. Revise o método HTTP usado, a URL do fetch no frontend e os dados persistidos no JSON. Quero uma correção mínima, mas correta, explicando a causa do erro e como testar depois.","Foi necessário perceber que o problema envolvia POST vs PUT, um erro pequeno mas crítico de template string e ainda uma limpeza manual do provas.json.","Good","I would definitely use it again for debugging support, but not without human verification.","Esse foi um dos momentos mais ricos do experimento: método HTTP certo importa, revisão de código gerado importa e pequenos detalhes sintáticos também."
"Refatorar o frontend em components/, services/ e types/ e implementar o fluxo completo de responder prova e ver resultado.","Refatore o frontend apenas o suficiente para melhorar a organização, separando components/, services/ e types/. Em seguida, implemente o fluxo completo de responder prova, corrigir automaticamente e mostrar o resultado. Mantenha a estrutura simples e adequada para um experimento acadêmico.","O agente voltou a expandir a complexidade. Eu precisei quebrar a tarefa em micro-passos e validar cada parte separadamente.","Good","I would definitely use it for the same thing again, provided the work stays incremental.","No fim, o MVP ficou funcional: criar prova, adicionar questões, responder, corrigir automaticamente e mostrar o resultado."
"Pedir ao agente uma análise da estrutura atual do projeto para verificar se ela estava pronta para entrega técnica.","Analise a estrutura atual do projeto e diga se ela está pronta para uma entrega técnica acadêmica. Não modifique nada. Quero um diagnóstico objetivo: o que está bom, o que está desorganizado, o que é indispensável ajustar e o que é exagero para o contexto da disciplina.","A análise foi útil como inventário, mas exagerou em exigências de produção, como CHANGELOG, CONTRIBUTING, autenticação e logs, para um experimento acadêmico.","Good","I would use it again as a reviewer, but not as the final authority.","Eu precisei reinterpretar criticamente as recomendações para separar o essencial do que era só excesso."
"Comparar o sistema implementado com o enunciado original da disciplina e identificar as lacunas da entrega.","Compare o sistema implementado até agora com o enunciado oficial da disciplina. Identifique de forma objetiva o que já foi atendido, o que está parcial e o que ainda falta implementar para cumprir os requisitos exigidos.","Ficou claro que o sistema cobria um MVP simplificado, mas ainda não atendia integralmente ao enunciado: faltavam CRUD completo, PDFs múltiplos com randomização, CSV de gabarito, correção por CSV e testes em Gherkin/Cucumber.","Bad","I would definitely not rely on the agent alone for requirement coverage.","Esse passo foi importante para manter a entrega honesta: o experimento era valioso, mas a implementação ainda estava parcial diante do que o professor pediu."
"Usar o ChatGPT para confrontar o sistema com o enunciado oficial e transformar as lacunas em um plano mínimo de implementação por etapas.","Com base nas lacunas identificadas em relação ao enunciado, transforme isso em um plano mínimo de implementação por etapas. Quero a menor sequência possível de mudanças para atender a atividade, sem refatoração grande e sem reinventar o projeto.","A proposta anterior estava ampla e complexa demais. Foi preciso reorientar tudo para entregas pequenas: CRUD completo, modo de alternativas, CSV, correção em lote, PDF e testes.","Good","I would definitely use it for the same thing again, as a planning and review aid.","Esse passo foi decisivo para sair de um MVP parcial para uma entrega mais aderente ao enunciado sem perder o controle da complexidade."
"Implementar edição/exclusão de provas e de questões dentro da própria prova, além do modo de alternativas por letras ou potências de 2.","Implemente apenas o mínimo necessário para completar esta fase: editar prova, excluir prova, editar questão dentro da prova e excluir questão dentro da prova. Além disso, adicione o modo de identificação das alternativas por letras ou por potências de 2. Reaproveite a estrutura atual e evite telas ou módulos desnecessários.","A proposta inicial do agente voltou a sofisticar demais a solução. Eu precisei reforçar restrições como ""não refatorar"", ""não criar banco separado de questões"" e ""reaproveitar a estrutura atual"".","Good","I would use it again, but only with strict scope control.","A melhor estratégia aqui foi pedir mudanças pontuais sobre a base existente, em vez de aceitar um redesenho completo do sistema."
"Corrigir as inconsistências dessa fase, principalmente o bug em que o resultado ainda assumia o formato ""letras"" em vez de usar o formato real da prova.","Faça uma rodada curta de correção e validação desta fase. Quero corrigir inconsistências no fluxo de edição e exclusão e, principalmente, resolver o bug em que o resultado ainda assume sempre o formato 'letras' em vez de respeitar o formato real configurado na prova.","Mesmo após a implementação, o fluxo ainda não estava coerente de ponta a ponta. Foi preciso uma rodada curta de depuração para alinhar backend, tipos e frontend.","Good","I would definitely use it again for targeted bug fixing.","Esse passo mostrou que uma implementação aparentemente pronta ainda precisa de validação real no fluxo completo."
"Implementar a geração do CSV de gabarito a partir da prova existente, respeitando o formato de alternativas configurado.","Implemente a geração do CSV de gabarito a partir de uma prova existente. O arquivo deve respeitar o formato configurado na prova: letras ou potências de 2. Quero uma solução mínima, com um endpoint simples no backend e um disparo de download no frontend, sem misturar essa fase com PDF ou importação de CSV.","Houve risco de o agente complicar demais o formato do CSV. Eu precisei pedir uma estrutura simples e estável, já pensando no reuso posterior na correção em lote.","Excellent","I would definitely use it for the same thing again.","Escolher um CSV minimalista (numero_questao,gabarito) ajudou a manter o sistema viável e reaproveitável."
"Implementar a correção em lote via CSV, recebendo as respostas dos alunos, processando linha por linha e retornando um resultado consolidado em JSON.","Implemente a correção em lote via CSV, reutilizando ao máximo a lógica atual de correção. O backend deve receber o ID da prova e um arquivo CSV com respostas de alunos, processar linha por linha e retornar um JSON consolidado com nome do aluno, acertos, nota e possíveis erros de linha inválida.","Foi necessário controlar o escopo para evitar cadastro de alunos, relatórios complexos ou interface extra. Também houve cuidado com a validação básica do CSV.","Good","I would definitely use it again, provided the scope remains narrow.","O agente foi útil ao reaproveitar a lógica de correção existente, mas a revisão humana continuou importante para tratar linha inválida e formato esperado."
"Implementar a geração de PDFs de provas individuais com ordem aleatória de questões e alternativas, incluindo cabeçalho, rodapé e espaço para nome/CPF.","Implemente a geração de PDF de provas individuais com a menor complexidade possível. A partir de uma prova existente, gere N versões com ordem aleatória de questões e alternativas. Cada prova deve ter cabeçalho simples, rodapé com número da versão e espaço para nome e CPF do aluno.","A primeira proposta resolvia o PDF, mas deixava o vínculo com o gabarito apenas em memória. Eu precisei perceber essa lacuna antes de considerar a fase concluída.","Good","I would use it again, but only with requirement traceability checks.","Foi um caso claro em que ""parece pronto"" não significa ""atende ao requisito completo""."
"Persistir em JSON os metadados das versões geradas em PDF, mantendo prova original, número da versão, ordem embaralhada e gabarito correspondente.","Agora complemente a geração de PDF persistindo em JSON os metadados das versões geradas. Quero manter o vínculo entre prova original, número da versão, ordem embaralhada e gabarito correspondente, para permitir rastreabilidade e uso posterior no fluxo de correção.","Sem essa persistência, os PDFs individualizados ficavam sem rastreabilidade suficiente para uma correção posterior. A solução precisou continuar simples, em arquivo JSON local.","Excellent","I would definitely use it for the same thing again.","Esse ajuste foi pequeno em código, mas grande em aderência ao enunciado e em coerência do fluxo."
"Resolver erros reais de compilação no backend após as novas implementações, incluindo multer, pdfkit, tipagem do req.file, strict TypeScript e shuffle genérico.","Corrija apenas os erros reais de compilação que surgiram no backend após as novas implementações. Foque em dependências como multer e pdfkit, tipagem de req.file, strict TypeScript, null safety e o shuffle genérico. Não adicione funcionalidades novas nem refatore a arquitetura.","O backend deixou de compilar. Foi preciso instalar dependências, corrigir tipos e até usar outro agente para ajustes bem localizados de TypeScript.","OK","I would use it again, but only for very targeted compilation fixes.","Esse momento mostrou um limite importante: agentes conseguem adicionar funcionalidade mais rápido do que conseguem preservar a consistência técnica ao longo da evolução do código."
"Implementar uma suíte mínima de testes de aceitação em Gherkin/Cucumber com supertest, cobrindo criação/edição/exclusão de provas, CSV, correção em lote, PDF e persistência das versões.","Implemente uma suíte mínima de testes de aceitação com Gherkin/Cucumber no backend. Quero cenários pequenos, mas suficientes, cobrindo os fluxos principais: criar, editar e excluir prova; gerar CSV; corrigir em lote via CSV; gerar PDF; e persistir os metadados das versões geradas.","Foi preciso manter a suíte pequena e pragmática. Havia risco de o agente propor uma infraestrutura de testes complexa demais para o contexto da disciplina.","Excellent","I would definitely use it for the same thing again.","A estratégia mínima funcionou bem: cenários suficientes para comprovar os fluxos principais, sem transformar a etapa de testes em outro projeto à parte."
"Executar a validação final do backend, do frontend e da suíte de aceitação, confirmando que o sistema passou a cobrir os principais requisitos do enunciado em uma solução simples.","Faça a validação final do sistema. Confirme que backend e frontend sobem corretamente, que os fluxos principais funcionam manualmente e que a suíte de aceitação executa sem falhas. Quero um fechamento objetivo do que foi validado e do que ainda fica como limitação residual do experimento.","No final, a confiança só veio com execução real: subir backend/frontend, baixar CSV, corrigir em lote, gerar PDF e rodar os testes. O histórico também precisou ser reconstruído parcialmente depois.","Good","I would definitely use it again, but I would document incrementally next time.","O experimento terminou mais completo do que o MVP inicial, mas a principal lição permaneceu: agentes aceleram bastante, desde que sejam supervisionados, limitados e verificados o tempo todo."
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
